word	frequency	quantity
you	1.0	1053
we	0.626780626781	660
up	0.520417853751	548
no	0.479582146249	505
yeah	0.39126305793	412
now	0.338081671415	356
all	0.330484330484	348
on	0.306742640076	323
me	0.290598290598	306
jah	0.264957264957	279
your	0.255460588794	269
ooh	0.245014245014	258
my	0.243114909782	256
got	0.242165242165	255
love	0.229819563153	242
can	0.213675213675	225
for	0.203228869896	214
that	0.203228869896	214
say	0.19943019943	210
but	0.198480531814	209
they	0.193732193732	204
know	0.182336182336	192
down	0.179487179487	189
do	0.175688509022	185
right	0.175688509022	185
this	0.169990503324	179
one	0.16049382716	169
what	0.157644824311	166
live	0.153846153846	162
people	0.15289648623	161
get	0.150047483381	158
come	0.149097815764	157
music	0.143399810066	151
jammin	0.14245014245	150
give	0.140550807217	148
ya	0.137701804368	145
oo	0.136752136752	144
gonna	0.132953466287	140
there	0.127255460589	134
are	0.126305792972	133
let	0.126305792972	133
de	0.123456790123	130
reggae	0.123456790123	130
dread	0.120607787274	127
wanna	0.120607787274	127
will	0.119658119658	126
wo	0.118708452042	125
out	0.118708452042	125
like	0.117758784425	124
stand	0.11396011396	120
