word	frequency	quantity
you	1.0	7084
me	0.415584415584	2944
my	0.404714850367	2867
that	0.341332580463	2418
on	0.258046301525	1828
this	0.240965556183	1707
your	0.239695087521	1698
like	0.239271597967	1695
just	0.23235460192	1646
with	0.216967814794	1537
but	0.214850367024	1522
up	0.2068040655	1465
for	0.185911914173	1317
get	0.175748164879	1245
what	0.167137210615	1184
we	0.16332580463	1157
can	0.159937888199	1133
all	0.148785996612	1054
when	0.136363636364	966
no	0.135798983625	962
they	0.133116883117	943
cause	0.13198757764	935
shit	0.12987012987	920
know	0.126623376623	897
got	0.1240824393	879
was	0.120271033315	852
he	0.119282891022	845
out	0.118859401468	842
at	0.117447769622	832
now	0.114201016375	809
back	0.112930547713	800
do	0.109119141728	773
as	0.107566346697	762
if	0.107284020327	760
fuck	0.105448898927	747
ain	0.098814229249	700
one	0.0947204968944	671
go	0.0945793337098	670
from	0.0870976849238	617
eminem	0.085827216262	608
not	0.0854037267081	605
see	0.0834274421231	591
say	0.0800395256917	567
his	0.0777809147374	551
man	0.0776397515528	550
who	0.0776397515528	550
her	0.0762281197064	540
off	0.0762281197064	540
em	0.072840203275	516
bitch	0.0725578769057	514
