word	frequency	quantity
you	1.0	1241
your	0.485898468977	603
my	0.473005640612	587
me	0.468170829976	581
on	0.25060435133	311
for	0.23045930701	286
what	0.228847703465	284
all	0.202256244964	251
this	0.201450443191	250
that	0.200644641418	249
no	0.171635777599	213
see	0.162771958098	202
never	0.149879129734	186
just	0.138597904915	172
with	0.138597904915	172
we	0.135374697824	168
can	0.129734085415	161
but	0.124899274778	155
do	0.117647058824	146
now	0.116841257051	145
am	0.116035455278	144
time	0.116035455278	144
one	0.111200644641	138
out	0.109589041096	136
are	0.108783239323	135
away	0.103142626914	128
from	0.103142626914	128
yeah	0.101531023368	126
take	0.100725221595	125
down	0.0958904109589	119
life	0.0942788074134	117
as	0.0894439967768	111
will	0.0878323932313	109
let	0.0870265914585	108
here	0.085414987913	106
more	0.085414987913	106
through	0.085414987913	106
they	0.0838033843674	104
iâ	0.0829975825947	103
way	0.0829975825947	103
when	0.0813859790492	101
like	0.0805801772764	100
come	0.0797743755036	99
know	0.0797743755036	99
there	0.0773569701853	96
hell	0.0773569701853	96
he	0.0773569701853	96
make	0.0757453666398	94
up	0.074939564867	93
have	0.074939564867	93
