word	frequency	quantity
you	1.0	1536
me	0.430338541667	661
my	0.376953125	579
all	0.28515625	438
your	0.28125	432
on	0.246744791667	379
love	0.240234375	369
we	0.224609375	345
can	0.177083333333	272
for	0.175130208333	269
that	0.171875	264
no	0.141927083333	218
with	0.1328125	204
but	0.131510416667	202
this	0.130859375	201
just	0.128255208333	197
time	0.12109375	186
one	0.119791666667	184
got	0.118489583333	182
get	0.115885416667	178
know	0.111979166667	172
do	0.110677083333	170
now	0.108072916667	166
what	0.106770833333	164
yeah	0.102864583333	158
down	0.100911458333	155
let	0.0970052083333	149
out	0.0911458333333	140
when	0.0872395833333	134
take	0.0859375	132
man	0.0852864583333	131
life	0.0833333333333	128
make	0.0813802083333	125
will	0.0813802083333	125
they	0.0807291666667	124
back	0.0807291666667	124
there	0.080078125	123
go	0.0787760416667	121
was	0.0748697916667	115
say	0.0748697916667	115
heart	0.0748697916667	115
come	0.0735677083333	113
if	0.0716145833333	110
see	0.0709635416667	109
up	0.0709635416667	109
like	0.0703125	108
gonna	0.0690104166667	106
baby	0.0690104166667	106
are	0.0677083333333	104
he	0.0677083333333	104
