word	frequency	quantity
you	1.0	2373
me	0.544458491361	1292
my	0.345554150864	820
that	0.26801517067	636
we	0.255372945638	606
on	0.248209018121	589
love	0.24399494311	579
your	0.240202275601	570
like	0.239780868099	569
all	0.17994100295	427
come	0.177833965445	422
can	0.17614833544	418
know	0.171091445428	406
baby	0.168984407922	401
got	0.162663295407	386
up	0.161399072903	383
but	0.145806995365	346
just	0.138643067847	329
yeah	0.134428992836	319
let	0.13190054783	313
now	0.130214917826	309
what	0.129372102823	307
out	0.128950695322	306
this	0.113358617783	269
for	0.112937210282	268
when	0.107037505268	254
if	0.103666245259	246
do	0.0977665402444	232
no	0.0977665402444	232
boy	0.0965023177413	229
get	0.0935524652339	222
with	0.0935524652339	222
take	0.0922882427307	219
wanna	0.0893383902233	212
make	0.0876527602191	208
want	0.0872313527181	207
cause	0.0859671302149	204
go	0.0847029077118	201
see	0.0842815002107	200
girl	0.0800674252002	190
how	0.0758533501896	180
one	0.0737463126844	175
cake	0.0720606826802	171
ya	0.0703750526759	167
right	0.0682680151707	162
need	0.0665823851665	158
say	0.0640539401601	152
not	0.0636325326591	151
feel	0.0594184576485	141
have	0.0589970501475	140
